ID ЛК,НомерЛД,Иностранец,Курс,finans,status,Уровень образования,Форма образования
424241,305524,False,1,,,Магистратура,Очная форма
2340,4090316,False,2,Бюджет,Учащийся,Аспирантура,Очная форма
9870,2220317,False,1,Бюджет,Учащийся,Аспирантура,Очная форма
2313,3440316,False,2,Бюджет,Учащийся,Аспирантура,Очная форма
2314,1080316,False,2,Бюджет,Учащийся,Аспирантура,Очная форма
674,3790316,False,2,Бюджет,Учащийся,Аспирантура,Очная форма
382075,325320,True,2,Контракт,Учащийся,Аспирантура,Очная форма
384245,2410320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
373038,5540319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
382422,6720320,False,3,Контракт,Учащийся,Бакалавриат,Очная форма
382464,6540320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
319213,5460318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
383857,4130320,False,4,Бюджет,Учащийся,Специалитет,Очная форма
2533,2330216,False,2,Бюджет,Учащийся,Аспирантура,Очная форма
384387,9090320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
382659,9150320,False,4,Контракт,Учащийся,Бакалавриат,Очная форма
319562,6300318,False,2,Бюджет,Отчислен,Магистратура,Очная форма
382453,9160320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
384007,670320,False,2,Контракт,Учащийся,Бакалавриат,Очно-заочная
381345,10319,True,5,Бюджет,Учащийся,Специалитет,Очная форма
374423,7360319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
10169,820317,False,1,Контракт,Учащийся,Аспирантура,Очная форма
384507,6630320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
382471,2560120,False,4,Контракт,Учащийся,Бакалавриат,Очная форма
318731,5580318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
384018,830320,False,4,Бюджет,Учащийся,Бакалавриат,Очно-заочная
318671,4770318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318024,570218,False,2,Бюджет,Учащийся,Магистратура,Очная форма
385393,8800208,False,1,Бюджет,Учащийся,Магистратура,Очная форма
318746,5900318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
383543,2240220,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
387927,259921,False,4,Контракт,Учащийся,Аспирантура,Заочная форма
386439,2070721,False,3,Бюджет,Учащийся,Бакалавриат,Очная форма
374941,1710819,False,5,Бюджет,Учащийся,Бакалавриат,Очно-заочная
386188,2460521,False,3,Бюджет,Учащийся,Бакалавриат,Очная форма
388228,8800270,False,3,Бюджет,Отчислен,Бакалавриат,Очно-заочная
385808,1020421,False,2,Бюджет,Отчислен,Бакалавриат,Очная форма
10530,2350117,False,1,Бюджет,Учащийся,Аспирантура,Очная форма
318156,2310218,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318265,1910418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
388016,980121,False,2,Бюджет,Учащийся,Бакалавриат,Очная форма
11352,1570317,False,2,Бюджет,Академический,Магистратура,Очная форма
386020,840421,False,3,Бюджет,Учащийся,Бакалавриат,Очная форма
11482,1180817,False,1,Бюджет,Учащийся,Аспирантура,Очная форма
383055,340120,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
387536,7860321,False,3,Контракт,Учащийся,Бакалавриат,Очная форма
318108,1650218,False,2,Бюджет,Учащийся,Магистратура,Очная форма
10020,1080417,False,2,Бюджет,Учащийся,Магистратура,Очная форма
384162,2040120,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
317491,380318,False,2,Контракт,Отчислен,Магистратура,Очная форма
386255,610221,False,3,Бюджет,Учащийся,Бакалавриат,Очная форма
388148,8130321,False,3,Бюджет,Учащийся,Бакалавриат,Очная форма
383721,5600320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
383797,7690320,False,3,Бюджет,Отчислен,Бакалавриат,Очная форма
373515,900419,False,1,Бюджет,Учащийся,Магистратура,Очная форма
383309,300420,False,3,Бюджет,Учащийся,Бакалавриат,Очная форма
318726,5520318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
386747,3880321,False,3,Бюджет,Учащийся,Бакалавриат,Очная форма
318402,590518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
374076,1370219,False,1,Бюджет,Учащийся,Магистратура,Очная форма
9964,640417,False,1,Бюджет,Учащийся,Аспирантура,Очная форма
383716,5550320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
384204,5500320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
388306,8800273,False,4,Контракт,Учащийся,Бакалавриат,Очно-заочная
388006,1640321,False,2,Бюджет,Учащийся,Бакалавриат,Очная форма
372932,4440319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
372947,4590319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
319200,3640318,False,1,Бюджет,Учащийся,Магистратура,Очная форма
380749,3570319,False,1,Бюджет,Академический,Магистратура,Очная форма
11343,1470317,False,1,Бюджет,Учащийся,Аспирантура,Очная форма
373695,260119,False,5,Бюджет,Учащийся,Специалитет,Очная форма
373807,1440119,False,1,Бюджет,Учащийся,Магистратура,Очная форма
373033,5490319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
380776,3840319,False,5,Бюджет,Учащийся,Специалитет,Очная форма
380765,3730319,False,5,Бюджет,Учащийся,Специалитет,Очная форма
374499,580319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
380778,3860319,False,5,Бюджет,Учащийся,Специалитет,Очная форма
381086,1460319,False,5,Бюджет,Учащийся,Специалитет,Очная форма
374894,1190819,False,5,Бюджет,Учащийся,Бакалавриат,Очно-заочная
386801,4270321,False,3,Бюджет,Учащийся,Бакалавриат,Очная форма
374880,1020819,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
373175,6930319,False,1,Бюджет,Отчислен,Магистратура,Очная форма
374897,1220819,False,5,Бюджет,Учащийся,Бакалавриат,Очно-заочная
372995,5100319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
383810,7840320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
384211,7110320,False,4,Бюджет,Академический,Бакалавриат,Очная форма
373008,5230319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
380786,3940319,False,5,Бюджет,Учащийся,Специалитет,Очная форма
380785,3930319,False,5,Бюджет,Учащийся,Специалитет,Очная форма
381085,740319,False,5,Бюджет,Учащийся,Специалитет,Очная форма
380761,3690319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
374439,230319,False,1,Бюджет,Отчислен,Магистратура,Очная форма
372764,2760319,True,1,Бюджет,Учащийся,Магистратура,Очная форма
373180,6980319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
382457,6090320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
374947,1770819,False,1,Бюджет,Учащийся,Магистратура,Очная форма
372767,2790319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
373214,7320319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
381078,730319,False,5,Контракт,Учащийся,Специалитет,Очная форма
380821,4290319,False,5,Бюджет,Учащийся,Специалитет,Очная форма
374442,520319,False,1,Контракт,Учащийся,Магистратура,Очная форма
372790,3020319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
384417,2890320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
372986,5010319,False,1,Целевой прием,Учащийся,Магистратура,Очная форма
380872,1230519,False,1,Бюджет,Академический,Магистратура,Очная форма
373019,5350319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
381081,980319,False,5,Контракт,Учащийся,Специалитет,Очная форма
373670,2300419,False,1,Бюджет,Учащийся,Магистратура,Очная форма
383607,2580320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
374323,610319,False,1,Контракт,Учащийся,Магистратура,Очная форма
383627,3000320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
372777,2890319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
373018,5340319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
374512,590319,False,1,Контракт,Учащийся,Магистратура,Очная форма
374461,1500319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
1887,1680316,False,2,Бюджет,Учащийся,Аспирантура,Очная форма
373141,6580319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
381090,380319,False,4,Контракт,Учащийся,Специалитет,Очная форма
382822,2570320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
383959,2430320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
372810,3220319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
385738,2540321,False,3,Целевой прием,Учащийся,Бакалавриат,Очная форма
372770,2820319,False,1,Бюджет,Отчислен,Магистратура,Очная форма
373194,7120319,False,1,Бюджет,Отчислен,Магистратура,Очная форма
372762,2740319,True,1,Бюджет,Учащийся,Магистратура,Очная форма
372806,3180319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
373134,6510319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
385870,650721,False,3,Контракт,Учащийся,Бакалавриат,Очная форма
318821,1840318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
380730,3380319,False,1,Бюджет,Отчислен,Магистратура,Очная форма
380767,3750319,False,5,Бюджет,Учащийся,Специалитет,Очная форма
317353,1330118,False,2,Бюджет,Учащийся,Магистратура,Очная форма
380758,3660319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
1148,900616,False,2,Бюджет,Учащийся,Аспирантура,Очная форма
383888,4540320,False,4,Бюджет,Учащийся,Специалитет,Очная форма
385680,840121,False,3,Целевой прием,Учащийся,Бакалавриат,Очная форма
383925,1980320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
385739,1190321,False,3,Целевой прием,Учащийся,Бакалавриат,Очная форма
372817,3290319,False,1,Бюджет,Отчислен,Магистратура,Очная форма
373064,5800319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
372765,2770319,False,1,Бюджет,Отчислен,Магистратура,Очная форма
387575,7440321,False,2,Контракт,Учащийся,Бакалавриат,Очная форма
373100,6170319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
383622,2820320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
382566,2760720,False,3,Контракт,Учащийся,Бакалавриат,Очная форма
380774,3820319,False,4,Бюджет,Учащийся,Специалитет,Очная форма
10605,4190317,False,1,Бюджет,Учащийся,Аспирантура,Очная форма
383979,220320,False,1,Бюджет,Учащийся,Бакалавриат,Очная форма
384568,3850320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
317944,870118,False,2,Бюджет,Учащийся,Магистратура,Очная форма
374431,500319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
374500,940319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
386418,3840321,False,3,Бюджет,Учащийся,Бакалавриат,Очная форма
380814,4220319,False,5,Бюджет,Учащийся,Специалитет,Очная форма
372987,5020319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
372999,5140319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
380742,3500319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
372807,3190319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
380748,3560319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
380810,4180319,False,5,Бюджет,Учащийся,Специалитет,Очная форма
380725,3330319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
380747,3550319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
372773,2850319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
372779,2910319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
386454,1640521,False,3,Бюджет,Учащийся,Бакалавриат,Очная форма
382427,6950320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
380807,4150319,False,5,Бюджет,Учащийся,Специалитет,Очная форма
372803,3150319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
374483,2630319,False,1,Контракт,Отчислен,Магистратура,Очная форма
374477,1450319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
317387,1690218,False,2,Бюджет,Отчислен,Магистратура,Очная форма
381468,420819,False,5,Контракт,Отчислен,Бакалавриат,Очно-заочная
373001,5160319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
383679,5060320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
383689,5180320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
376544,7740319,False,4,Бюджет,Отчислен,Бакалавриат,Очная форма
383111,1050120,False,4,Бюджет,Учащийся,Специалитет,Очная форма
386414,3850321,False,3,Бюджет,Учащийся,Бакалавриат,Очная форма
383669,3590320,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
213,9920016,False,1,Бюджет,Учащийся,Магистратура,Очная форма
213,9920016,False,2,Контракт,Учащийся,Магистратура,Заочная форма
264,1860816,False,2,Бюджет,Учащийся,Аспирантура,Очная форма
271,1910816,False,3,Контракт,Учащийся,Бакалавриат,Очно-заочная
295,2370816,False,2,Бюджет,Отчислен,Магистратура,Очная форма
352,890816,False,3,Контракт,Учащийся,Магистратура,Заочная форма
