ID,Title,ShortTitle,SubjectType,ControlType,IsDistant,Departments - DepartmentId → ID,Departments - DepartmentId → Title,Faculties - FacultyId → ID,Faculties - FacultyId → Title,SemesterSeasons - SemesterSeasonId → Year,SemesterSeasons - SemesterSeasonId → Season
1,Математическое моделирование объектов и систем управления,ММОиСУ,Лаб,,false,12,каф.КСУ,4,ФЭА,2023,autumn
2,Современные методы теории управления,СоврМТУ,Лек,Экз,false,25,каф.САУ,4,ФЭА,2023,autumn
3,Математическое моделирование объектов и систем управления,ММОиСУ,Пр,,false,12,каф.КСУ,4,ФЭА,2023,autumn
4,Основы промышленной цифровизации,ОснПрЦифр,Лек,ЗчО,false,25,каф.САУ,4,ФЭА,2023,autumn
5,Теория принятия решений,ТеорПрР,Пр,,false,23,каф.РАПС,4,ФЭА,2023,autumn
6,Фундаментальные основы высокочастотной электротехники и электромагнитной технологии,ФОВЧЭиЭМТ,Лаб,,false,37,каф.ЭТПТ,4,ФЭА,2023,autumn
7,Фундаментальные основы высокочастотной электротехники и электромагнитной технологии,ФОВЧЭиЭМТ,Пр,,false,37,каф.ЭТПТ,4,ФЭА,2023,autumn
8,Организационное поведение,ОргПов,Пр,,false,42,каф.СП,7,ГФ,2023,autumn
9,Пол и возраст: влияние на деловую и межличностную коммуникацию,ПиВ:ВДМК,Пр,,false,43,каф.ФЛ,7,ГФ,2023,autumn
10,Современные методы теории управления,СоврМТУ,Пр,,false,25,каф.САУ,4,ФЭА,2023,autumn
11,Основы промышленной цифровизации,ОснПрЦифр,Лаб,,false,25,каф.САУ,4,ФЭА,2023,autumn
12,Социальные коммуникации в профессиональной среде,СКвПрофСр,Пр,,false,42,каф.СП,7,ГФ,2023,autumn
13,Современные методы теории управления,СоврМТУ,Лаб,,false,25,каф.САУ,4,ФЭА,2023,autumn
14,Компьютерные технологии управления в технических системах (Computer-based Technologies of Control in Technical Systems),КТУвТС(CbTCT),Пр,,false,25,каф.САУ,4,ФЭА,2023,autumn
15,Компьютерные технологии управления в технических системах (Computer-based Technologies of Control in Technical Systems),КТУвТС(CbTCT),Лаб,,false,25,каф.САУ,4,ФЭА,2023,autumn
16,Теория принятия решений,ТеорПрР,Лек,Экз,false,23,каф.РАПС,4,ФЭА,2023,autumn
17,Машинное обучение и анализ данных,МОиАД,Лек,ЗчО,false,25,каф.САУ,4,ФЭА,2023,autumn
18,Основы конструирования электротехнических устройств,ОКЭТУ,Лек,ЗчО,false,37,каф.ЭТПТ,4,ФЭА,2023,autumn
19,Социальные коммуникации в профессиональной среде (Social Communication in Professional Environment),СКвПрофСр,Лек,ЗчО,false,42,каф.СП,7,ГФ,2023,autumn
20,Социальные коммуникации в профессиональной среде (Social Communication in Professional Environment),СКвПрофСр,Пр,,false,42,каф.СП,7,ГФ,2023,autumn
21,Внедрение и эксплуатация интегрированных систем управления,ВнЭксплИСУ,Пр,,false,23,каф.РАПС,4,ФЭА,2023,autumn
22,Акустическое проектирование электроэнергетического оборудования,АкПрЭЭО,Лек,Экз,false,25,каф.САУ,4,ФЭА,2023,autumn
23,Организация баз данных в производственных системах,ОБДвПС,Пр,,false,23,каф.РАПС,4,ФЭА,2023,autumn
24,Высокочастотная силовая электроника,ВЧСилЭл,Пр,,false,37,каф.ЭТПТ,4,ФЭА,2023,autumn
25,Организация баз данных в производственных системах,ОБДвПС,Лек,Экз,false,23,каф.РАПС,4,ФЭА,2023,autumn
26,Основы конструирования электротехнических устройств,ОКЭТУ,Пр,,false,37,каф.ЭТПТ,4,ФЭА,2023,autumn
27,Электрические и гидравлические приводы механических и робототехнических систем (Electric and Hydraulic Drives of Mechatronic and Robotic Systems),ЭиГПМиРС(EHDMRS),Лаб,,false,23,каф.РАПС,4,ФЭА,2023,autumn
28,Адаптация в электротехнических системах,АдаптЭТС,Лаб,,false,23,каф.РАПС,4,ФЭА,2023,autumn
29,Адаптация в электротехнических системах,АдаптЭТС,Лек,ЗчО,false,23,каф.РАПС,4,ФЭА,2023,autumn
30,Системы управления гребными электрическими установками,СУГрЭУ,Лек,Экз,false,25,каф.САУ,4,ФЭА,2023,autumn
31,Внедрение и эксплуатация интегрированных систем управления,ВнЭксплИСУ,Лек,ЗчО,false,23,каф.РАПС,4,ФЭА,2023,autumn
32,Микропроцессорные системы управления автономными электроэнергетическими системами,МПСУАЭЭС,Лек,Экз,false,25,каф.САУ,4,ФЭА,2023,autumn
33,Электроприводная техника производственных систем и технологических процессов,ЭПТПСиТП,Лаб,,false,25,каф.САУ,4,ФЭА,2023,autumn
34,Введение в специальность,Вв_в_Спец,Пр,,false,12,каф.КСУ,4,ФЭА,2023,autumn
35,Электроприводная техника производственных систем и технологических процессов,ЭПТПСиТП,Лек,Экз,false,25,каф.САУ,4,ФЭА,2023,autumn
36,Организационное поведение,ОргПов,Лек,ЗчО,false,42,каф.СП,7,ГФ,2023,autumn
37,Системы обеспечения безопасности технических средств управления (Systems of Ensuring the Safety for Technical Control Devises),СОБТСУ,Пр,ЗчО,false,39,каф.БЖД,5,ФИБС,2023,autumn
38,Системы обеспечения безопасности технических средств управления (Systems of Ensuring the Safety for Technical Control Devises),СОБТСУ,Лаб,,false,39,каф.БЖД,5,ФИБС,2023,autumn
39,Интеллектуальные системы управления станциями возобновляемой энергии (Intelligent Control Systems for Renewable Energy Stations),ИСУСВЭ(CSRES),Лек,ЗчО,false,23,каф.РАПС,4,ФЭА,2023,autumn
500,Волоконная и интегральная оптика,ВолнИнтОпт,Лек,Экз,false,13,каф.ЛИНС,5,ФИБС,2023,autumn
40,Микропроцессорные системы управления автономными электроэнергетическими системами,МПСУАЭЭС,Лаб,,false,25,каф.САУ,4,ФЭА,2023,autumn
41,Интеллектуальные системы управления станциями возобновляемой энергии (Intelligent Control Systems for Renewable Energy Stations),ИСУСВЭ(CSRES),Пр,,false,23,каф.РАПС,4,ФЭА,2023,autumn
42,Электромеханотронные комплексы и системы,ЭМКиС,Пр,,false,23,каф.РАПС,4,ФЭА,2023,autumn
43,Основы конструирования электротехнических устройств (Construction Design Principles of Electrotechnical Devices),ОснКЭУ(CDPED),Лек,ЗчО,false,23,каф.РАПС,4,ФЭА,2023,autumn
44,Основы конструирования электротехнических устройств (Construction Design Principles of Electrotechnical Devices),ОснКЭУ(CDPED),Пр,,false,23,каф.РАПС,4,ФЭА,2023,autumn
45,Эффективные промышленные установки (Efficient Industrial Installations),ЭффПУ(EffII),Лек,Экз,false,37,каф.ЭТПТ,4,ФЭА,2023,autumn
46,Технология электромагнитной обработки материалов,ТЭМОМ,Лек,Экз,false,37,каф.ЭТПТ,4,ФЭА,2023,autumn
47,Технология электромагнитной обработки материалов,ТЭМОМ,Пр,,false,37,каф.ЭТПТ,4,ФЭА,2023,autumn
48,Русский язык как иностранный,РусскЯз,Пр,ЗчО,false,41,каф.РЯ,7,ГФ,2023,autumn
49,Нелинейное и адаптивное управление в технических системах,НиАУвТС,Пр,,false,25,каф.САУ,4,ФЭА,2023,autumn
50,Эффективные промышленные установки (Efficient Industrial Installations),ЭффПУ(EffII),Пр,,false,37,каф.ЭТПТ,4,ФЭА,2023,autumn
51,Компьютерные технологии и моделирование в электронике (Computer Technology and Simulation in Electronics),КТиМвЭл(CTSE),Лек,ЗчО,false,32,каф.ФЭТ,2,ФЭЛ,2023,autumn
52,"Междисциплинарный проект 'Проектирование микроволнового транзисторного усилителя мощности""",МДП,Пр,ЗчО,false,21,каф.МВЭ,2,ФЭЛ,2023,autumn
55,Датчики в электронных устройствах,Датч_вЭУ,Пр,,false,36,каф.ЭПУ,2,ФЭЛ,2023,autumn
56,Датчики в электронных устройствах,Датч_вЭУ,Лек,Экз,false,36,каф.ЭПУ,2,ФЭЛ,2023,autumn
57,Технология полупроводниковых наногетероструктур,ТППНГС,Пр,,false,17,каф.МНЭ,2,ФЭЛ,2023,autumn
58,Технология полупроводниковых наногетероструктур,ТППНГС,Лек,Экз,false,17,каф.МНЭ,2,ФЭЛ,2023,autumn
59,Современные проблемы электроники (Problems of Modern Electronics),СоврПрЭл(PMEl),Пр,,false,11,каф.Фот,2,ФЭЛ,2023,autumn
60,Современные проблемы электроники (Problems of Modern Electronics),СоврПрЭл(PMEl),Лек,ЗчО,false,11,каф.Фот,2,ФЭЛ,2023,autumn
61,Компьютерное моделирование гибридных систем возобновляемой энергетики (Computer Simulation of Hybrid Renewable Energy Sustems),КМГСВЭ(CSHRES),Пр,ЗчО,false,11,каф.Фот,2,ФЭЛ,2023,autumn
62,Современные проблемы электроники,СоврПрЭл,Лек,ЗчО,false,35,каф.ЭП,2,ФЭЛ,2023,autumn
63,Гибридные интегральные схемы и монолитные интегральные схемы СВЧ,ГИСиМИСС,Лаб,,false,35,каф.ЭП,2,ФЭЛ,2023,autumn
64,"Междисциплинарный проект 'Проектирование электронного прибора или устройства""",МДП,Пр,ЗчО,false,35,каф.ЭП,2,ФЭЛ,2023,autumn
65,Моделирование технологических процессов в микроэлектронике,МТПвМЭ,Пр,,false,35,каф.ЭП,2,ФЭЛ,2023,autumn
66,Компьютерные технологии и моделирование в электронике,КТиМвЭл,Лаб,,false,17,каф.МНЭ,2,ФЭЛ,2023,autumn
67,Диагностика материалов и структур солнечной энергетики (Diagnostics of Solar Energy Materials and Structures),ДМиССЭ(DSEMS),Лек,Экз,false,11,каф.Фот,2,ФЭЛ,2023,autumn
68,Диагностика материалов и структур солнечной энергетики (Diagnostics of Solar Energy Materials and Structures),ДМиССЭ(DSEMS),Лаб,,false,11,каф.Фот,2,ФЭЛ,2023,autumn
69,Возобновляемые источники энергии (Renewable Energy Sources),ВозИстЭн(REnS),Пр,,false,11,каф.Фот,2,ФЭЛ,2023,autumn
70,Возобновляемые источники энергии (Renewable Energy Sources),ВозИстЭн(REnS),Лек,Экз,false,11,каф.Фот,2,ФЭЛ,2023,autumn
71,Компьютерные технологии в нанотехнологии и микросистемной технике,КТвНТиМСТ,Лаб,,false,17,каф.МНЭ,2,ФЭЛ,2023,autumn
72,Компьютерные технологии и моделирование в электронике,КТиМвЭл,Лек,ЗчО,false,17,каф.МНЭ,2,ФЭЛ,2023,autumn
73,Вакуумно-плазменные технологии в электронике,ВПТвЭл,Лаб,,false,32,каф.ФЭТ,2,ФЭЛ,2023,autumn
74,Тестирование и верификация интегральных схем,ТиВИнтСх,Пр,,false,17,каф.МНЭ,2,ФЭЛ,2023,autumn
75,Методы диагностики структур наноэлектроники и фотоники,МДСНЭиФ,Лаб,,false,17,каф.МНЭ,2,ФЭЛ,2023,autumn
76,Вакуумно-плазменные технологии в электронике,ВПТвЭл,Пр,,false,32,каф.ФЭТ,2,ФЭЛ,2023,autumn
77,Вакуумно-плазменные технологии в электронике,ВПТвЭл,Лек,Экз,false,32,каф.ФЭТ,2,ФЭЛ,2023,autumn
78,Русский язык как иностранный (Russian as a Foreign Language,РусскЯз(RFL),Пр,ЗчО,false,41,каф.РЯ,7,ГФ,2023,autumn
79,Современные проблемы электроники,СоврПрЭл,Лек,ЗчО,false,32,каф.ФЭТ,2,ФЭЛ,2023,autumn
80,Материалы солнечной энергетики (Solar Energy Materials),МСЭ(SEM),Лек,Экз,false,11,каф.Фот,2,ФЭЛ,2023,autumn
81,Материалы солнечной энергетики (Solar Energy Materials),МСЭ(SEM),Пр,,false,11,каф.Фот,2,ФЭЛ,2023,autumn
82,Приборы и устройства функциональной электроники и радиофотоники,ПиУФЭиРФ,Лаб,,false,32,каф.ФЭТ,2,ФЭЛ,2023,autumn
83,Технологии перспективных материалов электроники и радиофотоники,ТПМЭиРФ,Пр,,false,32,каф.ФЭТ,2,ФЭЛ,2023,autumn
84,Технологии перспективных материалов электроники и радиофотоники,ТПМЭиРФ,Лаб,,false,32,каф.ФЭТ,2,ФЭЛ,2023,autumn
85,Волновые процессы в устройствах микроэлектроники и радиофотоники,ВПвУМиРФ,Пр,,false,32,каф.ФЭТ,2,ФЭЛ,2023,autumn
